vehicle_id,trip_idx,depot_id,center_cell_linear,center_row,center_col,center_customer_id,trip_km,member_cells,load_w,load_v
V0049,1,D001_3,158622,60,1182,C001853,30.886000,79891 35269 6408 158622 171692 216374 302998 575944,84.860000,0.758000
V0049,2,D001_3,297832,113,1320,C002010,29.754000,103724 145711 87961 297832 339898 531304,85.469999,0.749000
V0049,3,D001_3,74732,28,1260,C002993,31.466000,35342 45841 74732 135057 203318,35.510000,0.768000
V0049,4,D001_3,292240,111,976,C002976,30.408000,87528 179401 292240 179473 386736 378935,81.590002,0.756000
V0049,5,D001_3,5545660,2113,1148,C001232,10.812000,5771349 5766079 5613887 5637437 5632185 5545660 4894906,86.480001,0.639000
V0049,6,D001_3,4123560,1571,1256,C001299,0.644000,4123560 4018559 3960953 4126088 4475299 3947654,31.270000,0.769000
V0064,1,D001_2,6271150,2389,2414,C002516,35.274000,6898459 6961447 6958771 6922017 6916758 6801253 6743552 6685840 6622920 6599297 6596628 6795932 6690971 6454969 6436607 6347333 6336832 6318446 6310505 6271150 6213525 6210795 6200464 6457393 6161090 6150374 6134662 6187093 6092824 6087407 6071752 6027249 6016651 5993087 5993008 5966871 5948580 5940674 5901162 5853839 5851378 5830255 6158195 5824990 5817346 5817405 5809314 5798865 5790886 6155556 5767452 6365464 5754232 6050583 6105686 6089937 5950861 6711823 6142402 6717052 6478263 5782899 6076771 6549090 6811494 6318074,832.910004,8.746000
V0064,2,D001_2,6312611,2405,1891,C000223,28.602000,6853398 6740546 6961030 6740508 6664530 6895285 6653873 6583164 6551593 6916267 6774548 6551499 6719412 6611824 6724650 6719397 6805986 6404696 6782354 6861073 6937147 6451700 6320689 6304915 6401832 6312611 6268278 6260132 6249896 6200056 6194503 6784898 6165667 6100335 6170844 6079198 6525078 6066206 6058119 6034510 6026625 6021467 6115709 6155482 6551286 6341366 5989839 5979409 5976697 6548655 5974388 5953380 6490912 5932026 6181276 6008092 5900737 5885066 6160269 5876927 5963451 6616825 6336053 6441011 6013287 6679774 5869244 6220544 5745589 4879510,832.980001,8.234000
V0064,3,D001_2,5266075,2006,2331,C001534,29.268000,5573266 5494557 5541823 5591687 5578568 5717653 5735919 5699177 5515424 5208428 5323839 5184898 5415672 5481267 5150805 5045714 5507500 5019419 5266075 5460222 5323771 5237178 5384105 5315872 5307989 5263374 5347320 5386678 5772382 5061262 5727758 5121612 4964332 5874708 5000902 4943482 5247554 4925136 4893389 4883010 4877803 4838486 4804356 4793810 5428595 4778118 4980305 4927827 4859605 4759516 4767326 5423324 4861784 4804045 5071692 4715199 5832655 5139902 5221241 4659917 5614829 4853864 4591724 4702173 5630410,832.580000,8.145000
V0064,4,D001_2,3875376,1476,2352,C000220,25.610000,4807167 4618053 4468481 4544565 4510455 4560271 4457945 4434329 4471017 4397538 4290108 4248023 4339777 4491965 4628411 4589011 4074802 4067010 4051182 4048731 4038159 4024993 4352824 4009295 4017285 3991045 3975195 3969947 3964621 3875376 3854378 3815082 3799265 3754610 3728648 3697063 3678487 4449851 3652172 3891390 3634016 3605322 3602585 3571102 3547263 3544789 3529174 3531870 3513387 3510518 3500029 3481785 3471254 3463669 3431833 3489469 3374327 3355741 4216285 3329462 3321540 4323857 3510417 4344847 3531404 4649233 3659971 3264172 3258578 3817401 4103413 4756687 4153135,832.410006,8.630000
V0064,5,D001_2,6325277,2410,1437,C000089,24.846000,6957844 6779355 6868558 6900012 6944575 6871095 6931442 6962911 6813317 6611281 6595598 6742397 6545828 6621684 6907695 6553751 6776467 6425090 6411969 6600645 6870912 6677105 6356953 6325277 6312247 6270196 6238749 6199323 6180862 6152243 6291036 6117992 6115322 6291023 6081404 6285764 6062811 6052369 6566941 6050009 6034258 6023661 6002567 5997174 5994652 6642597 6752804 5978821 5936855 5910549 5863278 5805716 6133526 5797919 6713428 6855121 5784612 5863665 5863670 6739651 5742612 6471996 6041659 5719089 5711115 5611535 5477717,832.679997,9.204000
V0064,6,D001_2,2117371,806,2427,C000132,27.874000,1511328 1419485 1671362 1534880 1437772 1526957 1676507 1731603 1492807 1771040 1513793 1789454 1807830 1807834 1498037 1545261 1852478 1873240 1928430 1707913 1967862 1972899 1999293 2007260 2117371 2190882 2211964 2117237 2246063 2290420 2295928 2303656 2185418 2361234 1555655 2209024 1437547 2455753 2474328 2476968 2482143 2482255 1448024 2308680 2552845 1655291 2576494 2581771 2592223 2248304 2610734 2618611 2618525 2644653 2725907 1870438 2739305 2760237 2776077 2781188 2786295 2799404 2801991 2841605 2075095 2867542 1725986,832.839999,9.190000
V0064,7,D001_2,3174620,1209,2204,C004322,22.138000,2928363 3049033 2912564 3080554 3182851 3151422 3209106 3237917 3056818 3256233 2836382 3256161 2854678 3127553 3182641 2975333 3122256 3200970 2886080 3074986 3119587 3119549 3124779 3174620 2862358 3261200 2901690 3072243 3234911 2589396 2901641 2943618 2731069 2366340 2788789 3471024 2788780 2473899 3476265 3350303 2717918 3665210 2770369 3308279 2657522 3455216 3373861 3140319 3780602 2757202 3289869 3636233 3381701 3547008 3037933 2471148 3657195 3284574 2932953 3053657 3851492 3890839 3575786 4276454 2769955,832.700001,7.472000
