vehicle_id,trip_idx,depot_id,center_cell_linear,center_row,center_col,center_customer_id,trip_km,member_cells,load_w,load_v
V0004,1,D001_5,487745,185,2305,C002675,29.678000,185823 175312 248794 72972 104432 191016 25709 335351 343207 49295 253946 204077 311658 432439 120064 521532 534709 928885 539991 529355 571449 589916 657991 676358 136043 351227 742184 540159 67841 196418 209545 705485 660878 222680 781579 755012 343403 487745 309319 519239 768521 374926 288338 304120 372346 781699 681997 868304 713502 619046 367151 579700 136259 191385 511525 39206 275384 871033 430209 996993 1025863 173073 309521 613920 110115 191469 997042 220346 10442 705804 590355 202006 944602 534702,821.139999,9.407000
V0004,2,D001_5,3008132,1146,1028,C000217,9.538000,2216169 2137476 2132170 2347373 2457499 2462747 2465381 2496846 2318399 2076976 2268382 2179107 2205341 2194813 2263019 1693609 2058316 2517499 2058295 1900840 2205214 1727650 2853288 1609565 1538738 2669574 3008132 1515131 2727292 2750867 2937193 1444294 1418069 3021118 3073628 3092015 3102537 3039406 3115578 3115490 3157523 3160150 3230987 3262535 3330688 3359652 3112817 3317488 3393888 3209899 3409463 3422583 3278108 3538043 3572245 3580054 3611495 3655947 3682558 3698244 3758422 3797725 3800594 3855542 3858277 3942621 3947654 3960953 4018559 3813225 4034196 4126088 4202052,928.170005,9.497000
V0049,1,D001_3,6180862,2355,1342,C002913,15.388000,6291023 6285764 6291036 6180862 6133526 6062811 5936855 5613887,86.540001,0.750000
V0049,2,D001_3,5954554,2269,698,C004332,17.900000,5954554,22.139999,0.145000
V0049,3,D001_3,6319492,2408,900,C003518,18.088000,6319492,4.900000,0.158000
V0049,4,D001_3,6366780,2426,956,C000646,17.978000,6366780,17.469999,0.120000
V0049,5,D001_3,5954597,2269,741,C001289,17.360000,5954597,13.570000,0.119000
V0049,6,D001_3,5159342,1966,558,C003680,16.274000,5159342 5106862 5028146 5345733 5363991 4970519 5434822 5285426,83.309999,0.759000
V0049,7,D001_3,6387829,2434,1013,C000657,17.762000,6387829,22.450001,0.145000
V0049,8,D001_3,5001788,1906,444,C001255,17.860000,5001788,6.430000,0.132000
V0049,9,D001_3,4147028,1580,1108,C002089,3.464000,4147028,4.940000,0.017000
V0064,1,D001_2,674631,257,263,C003941,25.580000,42113 47357 118180 139256 99776 175999 15940 241604 123372 288694 288796 320281 333263 118310 464539 535353 540690 569486 629778 661335 674631 695555 695445 304689 745411 748069 761002 776902 315207 782022 330958 805702 821632 304730 834638 866071 876500 889708 1015766 1031452 887246 1062918 341485 496312 1149593 1178460 1055237 1183650 392 84361 653770 1217720 1254449 850586 1304219 202480 546224 1330699 1330624 918840 1340970 1340935 457026 527874 1351812 1280965 1377895 732552 186772 1021208 362586 407196 257641 548917 638144 1375447 1281052 1952358,832.420003,9.196000
V0064,2,D001_2,589503,224,1727,C003418,23.706000,46269 72498 124953 203700 1416334 235111 271964 287643 290258 337487 25183 382220 153936 180185 468735 471359 195714 221951 518519 534424 539527 555231 400371 589503 605059 27964 612912 668247 675858 720519 200891 752066 757374 765120 765138 773104 773144 306166 746998 796694 657800 626313 335055 793967 345570 920174 634223 933009 623735 403323 967198 954372 857285 1004198 1014675 130447 760214 266903 1040910 584414 660511 604958 413405 1069680 1085155 1095981 825837 1103919 607794,832.389996,9.190000
V0064,3,D001_2,672429,256,685,C001533,21.104000,252468 218357 320701 373173 485962 202553 512273 593548 402121 296990 622543 543830 116029 648730 656628 84515 661822 66261 312938 61004 672429 1142330 34786 257850 365441 486160 278874 137173 200179 95197 711823 737923 777287 787880 735219 389164 861263 234363 617469 69062 648967 620108 683084 940102 730334 981978 341994 134705 294770 900921 1031868 1039956 1057996 1081819 1086977 1118513 1541404 1142249 1165699 1176313 971784 1186567 1186659 1199769 1215741 1236607 1236536 1244355 1249623 1270733 837972 1273559 1021673 310320,832.909999,9.300000
V0064,4,D001_2,819836,312,1148,C000587,18.326000,87528 179401 292240 179473 386736 439213 378935 583600 628187 326480 683163 171692 714674 725160 730400 754123 767195 811913 819836 1082346 371146 6408 79891 882688 893144 158622 906404 877626 216374 974491 701836 302998 709720 135057 1048030 192805 531304 1077054 767473 35269 74732 203318 1121425 45841 35342 1024643 591684 1145266 575944 1163667 1168635 447377 1187111 712412 1205399 179741 673054 1216091 1218465 297832 646825 1250185 1252689 699312 1701897 331955,832.709999,8.628000
V0064,5,D001_2,5313817,2025,217,C001319,23.856000,5077489 5151007 5208645 4914843 4846606 5318994 5342516 5235054 4956911 5174707 5379238 5279676 5387279 4851934 5313817 4825737 5492078 5054052 4946473 4765374 5164281 5437218 5389991 4941295 5555243 4943944 5578883 5258831 5153872 5536980 5529108 4744385 4741609 5633801 5636682 4749798 4697127 4694405 5224752 4676221 5675761 4670887 5686264 5696714 4649769 4647362 4933510 4962375 4613205 5741653 5125070 5754666 5759706 4581709 5355991 5783585 5783400 5510812 5660383 4846944 5804554 5809536 5815173 5833468 5843686 5786443 6203501,832.839997,7.676000
V0064,6,D001_2,2020643,770,163,C004072,20.740000,1508917 1545665 1445963 1606018 1608688 1682071 1682092 2658205 1784405 1794887 1797493 1941877 1766055 1432913 1892132 1955110 1663847 2020643 2020485 2036324 1905263 1488058 2191190 2597967 2214916 2225375 1758359 1661273 1619292 2248804 2256706 2283138 2343369 2398388 2414119 1973562 2464096 2474706 2073290 2474761 2448531 2484976 1545862 2506054 2506165 2508785 2516761 2521794 2340974 2555911 1923763 2587582 1448795 2595433 2598076 1944436 2603122 2532550 2178312 2647953 2120596 2198963,832.510001,9.301000
V0064,7,D001_2,1397418,532,1450,C000996,15.588000,103724 145711 87961 1824967 339898 631151 638975 1972001 848901 856765 862096 1156141 974908 1074638 1114052 1140148 775505 1198094 1250553 1302727 1337044 1365700 1373641 1397418 1431408 1436859 1494613 1518075 1523436 1525810 1531302 1544439 1557614 1575698 1575901 1591407 1607422 1612645 1625759 1557667 1643833 1654510 1699120 1580832 1712077 1240195 1229705 1751685 1770153 1772699 1746572 1746648 1843642 1859414 1872360 1911579 1927464 1930076 1937967 1754028 1958790 1972217 1972220 961727 1984996 1562448 2213732 1374040 1820122 1135261 2037860 2040481 331956,815.490000,9.352000
V0064,8,D001_2,3889016,1482,248,C000514,17.738000,4416227 4484420 4287674 4308702 4502897 4434685 4201176 4243198 4022736 4012151 4006850 3993752 4148763 4366560 4308835 4046436 3568939 4064828 4474150 3928260 4458437 3904714 3889016 3841630 3902180 4041259 3988780 3802362 3902202 4398169 3694802 3676470 3983615 4017743 3668680 3655470 3923292 3624035 3605615 3581945 3946714 4062364 3561021 4377245 3550434 3545151 3537298 3511227 3508447 3434918 3419162 3519206 3954801 3380101 3345609 3345959 3839367 2661151 4046674 3576981 3272356 3269689 3857777 3206690 3201696 3188282 3380231 3316888,832.910004,8.705000
V0064,9,D001_2,2915742,1111,478,C004330,12.562000,2833920 2655509 2700178 2666096 2692348 2781566 2862939 2939048 2771124 2994141 3009928 3051742 3112231 3114729 3130623 3038859 2768589 2994273 3175057 2692546 2839508 3096668 2668986 2989141 2309529 2432881 2220346 2716298 2540506 2915742 2703200 3039082 2865918 2154863 3427468 3346130 2238807 2076125 2944670 2039380 3272679 2632813 2834506 3487885 3380278 2120753 3157296 2957877 3010358 2894904 2105084 3571905 3629587 2254662 3435466 3713623 3152109 2900208 3157361 3750347 2716539 3608712 2727048 3241354 2462026 3015690 3422421 2894997 2477788 3619267 2850497 2561867 2824282 3787309 2561540,832.079998,9.359000
V0064,10,D001_2,1850771,705,851,C001590,11.500000,1383207 1417381 1443681 1624769 1630031 1456874 1666793 1299451 1698221 1456911 1616979 1742859 1745578 1596015 2955828 1929267 1958002 1918820 1850600 1577711 1467538 1813908 1567298 1478090 2068495 1462364 2115750 1695935 2191765 2304668 1850771 1475540 2323054 1672349 1546405 1651378 2273281 2454313 1829833 1777365 1790495 1764262 2050278 2039787 2024043 2226100 1609465 2289116 2459686 1672488 1795817 1268395 2504306 1906037 1591158 2598550 2601355 2606527 2260292 2627424 2659125 2165847 1559703 1483616 2840205 1756093,832.739995,8.695000
