Customer_ID,Latitude,Longitude,City,Order_Weight,Order_Volume,Time_Window_Start,Time_Window_End,Service_Time,Priority_Level,Delivery_Type,Return_Flag,x_km,y_km,row,col,Customer_ID_idx,Territory_Depot
C000002,10.710086,106.650496,Ho Chi Minh City,18.670000,0.060000,09:00,18:00,10,1,Home,True,11663.061680,1184.214209,597,770,0,D001_2
C000003,10.777951,106.593372,Ho Chi Minh City,6.710000,0.246000,09:00,16:00,11,3,Home,False,11656.814726,1191.718042,1348,146,1,D001_2
C000006,10.751298,106.720948,Ho Chi Minh City,22.350000,0.164000,09:00,16:00,6,2,Home,False,11670.766154,1188.771020,1053,1541,2,D001_5
C000010,10.894385,106.810313,Ho Chi Minh City,3.760000,0.090000,09:00,12:00,7,1,Home,False,11680.538913,1204.592149,2635,2518,3,D001_1
C000011,10.747098,106.687796,Ho Chi Minh City,13.930000,0.184000,15:00,21:00,6,1,Home,False,11667.140725,1188.306626,1006,1178,4,D001_2
C000013,10.757428,106.773422,Ho Chi Minh City,6.250000,0.073000,17:00,20:00,11,2,Home,False,11676.504595,1189.448814,1121,2114,5,D001_4
C000014,10.715460,106.764636,Ho Chi Minh City,1.590000,0.176000,08:00,12:00,4,2,Home,False,11675.543777,1184.808412,657,2018,6,D001_4
C000015,10.717906,106.586546,Ho Chi Minh City,8.700000,0.032000,13:00,16:00,4,3,Home,False,11656.068250,1185.078866,684,71,7,D001_2
C000017,10.852748,106.719606,Ho Chi Minh City,19.300000,0.127000,17:00,20:00,4,2,Home,False,11670.619396,1199.988346,2175,1526,8,D001_3
C000018,10.749925,106.740196,Ho Chi Minh City,14.180000,0.128000,09:00,18:00,8,2,Home,False,11672.871073,1188.619207,1038,1751,9,D001_4
C000026,10.840590,106.703791,Ho Chi Minh City,1.140000,0.074000,17:00,21:00,5,3,Home,False,11668.889903,1198.644036,2040,1353,10,D001_3
C000027,10.772285,106.764848,Ho Chi Minh City,23.410000,0.018000,09:00,16:00,13,2,Home,False,11675.566961,1191.091552,1285,2021,11,D001_4
C000028,10.722440,106.712474,Ho Chi Minh City,16.730000,0.099000,13:00,18:00,7,2,Home,False,11669.839457,1185.580191,734,1448,12,D001_2
C000029,10.719911,106.771948,Ho Chi Minh City,17.080000,0.220000,10:00,16:00,6,1,Home,False,11676.343401,1185.300559,706,2098,13,D001_4
C000031,10.722779,106.713134,Ho Chi Minh City,23.890000,0.026000,13:00,16:00,15,1,Home,False,11669.911633,1185.617674,738,1455,14,D001_2
C000032,10.757882,106.690177,Ho Chi Minh City,0.400000,0.079000,13:00,18:00,6,2,Locker,False,11667.401106,1189.499013,1126,1204,15,D001_2
C000033,10.682411,106.722125,Ho Chi Minh City,5.860000,0.225000,09:00,18:00,13,2,Home,False,11670.894869,1181.154184,291,1554,16,D001_2
C000035,10.835909,106.652588,Ho Chi Minh City,23.460000,0.042000,13:00,18:00,7,2,Home,True,11663.290457,1198.126458,1988,793,17,D001_3
C000036,10.729715,106.720850,Ho Chi Minh City,14.360000,0.205000,09:00,12:00,13,2,Home,False,11670.755437,1186.384588,814,1540,18,D001_5
C000037,10.818029,106.816796,Ho Chi Minh City,1.340000,0.045000,08:00,11:00,13,2,Home,False,11681.247879,1196.149467,1791,2589,19,D001_1
C000042,10.676365,106.775711,Ho Chi Minh City,8.690000,0.145000,17:00,21:00,8,2,Home,False,11676.754915,1180.485678,224,2140,20,D001_4
C000043,10.788800,106.794618,Ho Chi Minh City,12.450000,0.106000,13:00,20:00,4,2,Home,False,11678.822542,1192.917616,1468,2346,21,D001_4
C000044,10.871807,106.753074,Ho Chi Minh City,7.380000,0.019000,10:00,16:00,5,1,Home,False,11674.279383,1202.095700,2385,1892,22,D001_1
C000046,10.722382,106.613983,Ho Chi Minh City,6.510000,0.183000,10:00,18:00,8,1,Home,False,11659.068699,1185.573778,733,371,23,D001_2
C000051,10.660738,106.646385,Ho Chi Minh City,3.740000,0.101000,15:00,20:00,14,2,Home,False,11662.612110,1178.757801,52,725,24,D001_2
C000055,10.810161,106.668446,Ho Chi Minh City,19.610000,0.028000,13:00,18:00,8,2,Locker,False,11665.024652,1195.279502,1704,966,25,D001_3
C000056,10.877820,106.814045,Ho Chi Minh City,22.370000,0.071000,17:00,20:00,11,3,Home,False,11680.947036,1202.760557,2452,2559,26,D001_1
C000057,10.679617,106.664458,Ho Chi Minh City,7.580000,0.016000,15:00,20:00,7,2,Office,True,11664.588533,1180.845252,260,923,27,D001_2
C000066,10.816255,106.603697,Ho Chi Minh City,16.410000,0.205000,10:00,18:00,12,2,Home,False,11657.943845,1195.953315,1771,258,28,D001_2
C000068,10.853388,106.780319,Ho Chi Minh City,0.780000,0.033000,10:00,18:00,10,2,Locker,False,11677.258835,1200.059111,2182,2190,29,D001_1
C000069,10.886415,106.809757,Ho Chi Minh City,5.890000,0.203000,15:00,18:00,5,2,Home,False,11680.478110,1203.710907,2547,2512,30,D001_1
C000071,10.785616,106.658199,Ho Chi Minh City,15.550000,0.148000,08:00,12:00,10,1,Home,False,11663.904063,1192.565561,1432,854,31,D001_2
