customer_idx,customer_id,row,col,cell_linear,weight,volume,priority,cluster,vehicle_id,depot_id
0,C000002,597,770,1567298,18.670000,0.060000,1.000000,31,V0064,D001_2
1,C000003,1348,146,3537298,6.710000,0.246000,3.000000,29,V0064,D001_2
2,C000006,1053,1541,2764613,22.350000,0.164000,2.000000,55,V0267,D001_4
3,C000010,2635,2518,6916758,3.760000,0.090000,1.000000,-1,,
4,C000011,1006,1178,2640922,13.930000,0.184000,1.000000,63,V0004,D001_5
5,C000013,1121,2114,2943618,6.250000,0.073000,2.000000,50,V0267,D001_4
6,C000014,657,2018,1725986,1.590000,0.176000,2.000000,53,V0267,D001_4
7,C000015,684,71,1794887,8.700000,0.032000,3.000000,30,V0064,D001_2
8,C000017,2175,1526,5708726,19.299999,0.127000,2.000000,-1,,
9,C000018,1038,1751,2725463,14.180000,0.128000,2.000000,55,V0267,D001_4
10,C000026,2040,1353,5354313,1.140000,0.074000,3.000000,-1,,
11,C000027,1285,2021,3373861,23.410000,0.018000,2.000000,58,V0267,D001_4
12,C000028,734,1448,1927464,16.730000,0.099000,2.000000,34,V0064,D001_2
13,C000029,706,2098,1854642,17.080000,0.220000,1.000000,53,V0267,D001_4
14,C000031,738,1455,1937967,23.889999,0.026000,1.000000,34,V0064,D001_2
15,C000032,1126,1204,2955828,0.400000,0.079000,2.000000,33,V0064,D001_2
16,C000033,291,1554,765138,5.860000,0.225000,2.000000,25,V0064,D001_2
17,C000035,1988,793,5217305,23.459999,0.042000,2.000000,-1,,
18,C000036,814,1540,2137476,14.360000,0.205000,2.000000,55,V0267,D001_4
19,C000037,1791,2589,4702173,1.340000,0.045000,2.000000,4,V0127,D001_1
20,C000042,224,2140,589916,8.690000,0.145000,2.000000,62,V0004,D001_5
21,C000043,1468,2346,3854378,12.450000,0.106000,2.000000,4,V0127,D001_1
22,C000044,2385,1892,6260132,7.380000,0.019000,1.000000,1,V0127,D001_1
23,C000046,733,371,1923763,6.510000,0.183000,1.000000,30,V0064,D001_2
24,C000051,52,725,137173,3.740000,0.101000,2.000000,27,V0064,D001_2
25,C000055,1704,966,4472262,19.610001,0.028000,2.000000,-1,,
26,C000056,2452,2559,6436607,22.370001,0.071000,3.000000,-1,,
27,C000057,260,923,683163,7.580000,0.016000,2.000000,28,V0064,D001_2
28,C000066,1771,258,4647362,16.410000,0.205000,2.000000,29,V0064,D001_2
29,C000068,2182,2190,5727758,0.780000,0.033000,2.000000,3,V0127,D001_1
30,C000069,2547,2512,6685840,5.890000,0.203000,2.000000,-1,,
31,C000071,1432,854,3758422,15.550000,0.148000,1.000000,63,V0004,D001_5
32,C000075,2107,340,5529108,5.350000,0.197000,2.000000,26,V0064,D001_2
33,C000078,1383,595,3629587,3.810000,0.203000,1.000000,32,V0064,D001_2
34,C000079,990,790,2598550,23.580000,0.077000,2.000000,33,V0064,D001_2
35,C000081,334,1210,877626,19.350000,0.143000,1.000000,28,V0064,D001_2
36,C000084,390,2503,1025863,12.600000,0.176000,2.000000,62,V0004,D001_5
37,C000087,250,1800,657800,3.810000,0.165000,2.000000,25,V0064,D001_2
38,C000088,1702,2044,4468092,2.640000,0.027000,2.000000,58,V0267,D001_4
39,C000089,2410,1437,6325277,20.770000,0.204000,2.000000,36,V0049,D001_3
40,C000090,630,2171,1655291,0.780000,0.238000,2.000000,53,V0267,D001_4
41,C000093,774,1874,2032850,16.940001,0.189000,2.000000,53,V0267,D001_4
42,C000097,6,196,15940,17.700001,0.073000,2.000000,24,V0064,D001_2
43,C000098,1172,1270,3076598,19.330000,0.135000,3.000000,60,V0267,D001_4
44,C000099,859,646,2254662,12.620000,0.093000,2.000000,32,V0064,D001_2
45,C000100,2021,2029,5305133,1.860000,0.172000,3.000000,17,V0190,D001_1
46,C000103,2568,1219,6739651,6.510000,0.037000,2.000000,-1,,
47,C000104,110,156,288796,16.010000,0.134000,2.000000,24,V0064,D001_2
48,C000105,302,1519,793967,14.240000,0.139000,2.000000,25,V0064,D001_2
49,C000110,1889,175,4956911,23.990000,0.192000,1.000000,26,V0064,D001_2
50,C000111,163,2497,430209,23.580000,0.175000,2.000000,62,V0004,D001_5
51,C000112,444,643,1165699,20.990000,0.039000,2.000000,27,V0064,D001_2
52,C000113,1514,2459,3975195,17.350000,0.224000,2.000000,4,V0127,D001_1
53,C000115,777,1633,2040481,15.640000,0.131000,2.000000,55,V0267,D001_4
54,C000119,1751,1865,4596489,23.040001,0.148000,1.000000,58,V0267,D001_4
55,C000122,2330,1789,6115709,0.250000,0.026000,2.000000,1,V0127,D001_1
56,C000123,557,2034,1463602,20.549999,0.248000,2.000000,53,V0267,D001_4
57,C000127,1304,887,3422583,14.280000,0.081000,2.000000,63,V0004,D001_5
58,C000130,2375,585,6232585,18.400000,0.206000,3.000000,-1,,
59,C000132,806,2427,2117371,24.750000,0.239000,3.000000,50,V0267,D001_4
60,C000136,575,117,1508917,19.940001,0.154000,3.000000,30,V0064,D001_2
61,C000137,1918,1312,5034144,13.970000,0.122000,2.000000,-1,,
62,C000138,2277,1849,5976697,0.280000,0.023000,1.000000,1,V0127,D001_1
63,C000141,130,365,341485,1.120000,0.120000,2.000000,24,V0064,D001_2
64,C000142,659,2387,1731603,4.370000,0.233000,3.000000,53,V0267,D001_4
65,C000148,47,1625,124953,4.750000,0.134000,2.000000,25,V0064,D001_2
66,C000151,402,389,1055237,12.790000,0.020000,2.000000,24,V0064,D001_2
67,C000153,1485,1909,3898549,23.430000,0.240000,1.000000,58,V0267,D001_4
68,C000154,1373,2570,3605322,18.340000,0.195000,2.000000,4,V0127,D001_1
69,C000156,2481,184,6510328,23.870001,0.178000,3.000000,-1,,
70,C000160,2028,2367,5323839,6.200000,0.235000,2.000000,7,V0127,D001_1
71,C000161,2036,52,5342516,21.350000,0.230000,3.000000,26,V0064,D001_2
72,C000164,291,1536,765120,9.540000,0.028000,3.000000,25,V0064,D001_2
73,C000167,385,2623,1012863,6.320000,0.166000,2.000000,-1,,
74,C000172,2024,928,5311904,13.750000,0.145000,2.000000,-1,,
75,C000176,2179,1393,5719089,18.760000,0.241000,2.000000,-1,,
76,C000177,2248,2410,5901162,18.620001,0.131000,2.000000,3,V0127,D001_1
77,C000178,1995,2298,5237178,2.970000,0.198000,3.000000,7,V0127,D001_1
78,C000179,796,1606,2090310,12.430000,0.043000,2.000000,55,V0267,D001_4
79,C000180,1194,1879,3134935,13.430000,0.109000,2.000000,55,V0267,D001_4
80,C000182,951,1422,2496846,17.860001,0.079000,3.000000,63,V0004,D001_5
81,C000183,1618,2391,4248023,5.800000,0.117000,3.000000,4,V0127,D001_1
