Depot_ID,Vehicle_ID,Trip_Index,Vehicle_Type,Center_ID,Num_Customers,Load_Weight,Load_Volume,Trip_Distance_km,Spread_km,Customer_List
D001_5,V0004,1,Van,C002721,1,19.880000,0.229000,2.701557,0.000000,"C002721"
D001_5,V0004,2,Van,C001471,1,21.610000,0.027000,8.452996,0.000000,"C001471"
D001_5,V0004,3,Van,C004193,2,35.130000,0.356000,10.320686,0.177567,"C000798;C004193"
D001_5,V0004,4,Van,C002136,1,22.020000,0.162000,12.656940,0.000000,"C002136"
D001_5,V0004,5,Van,C001508,1,19.960000,0.192000,11.578061,0.000000,"C001508"
D001_5,V0004,6,Van,C002265,1,19.920000,0.154000,13.295387,0.000000,"C002265"
D001_5,V0004,7,Van,C003748,1,20.360000,0.027000,12.982232,0.000000,"C003748"
D001_5,V0004,8,Van,C004391,1,22.390000,0.056000,16.520952,0.000000,"C004391"
D001_5,V0004,9,Van,C000231,1,21.470000,0.116000,18.324586,0.000000,"C000231"
D001_5,V0004,10,Van,C003753,1,22.680000,0.132000,18.621956,0.000000,"C003753"
D001_5,V0004,11,Van,C001861,2,36.240000,0.059000,23.195195,0.074952,"C001861;C000751"
D001_5,V0004,12,Van,C000557,1,19.990000,0.230000,13.756165,0.000000,"C000557"
D001_5,V0004,13,Van,C000055,1,19.610000,0.028000,11.419879,0.000000,"C000055"
D001_5,V0004,14,Van,C003672,1,21.830000,0.194000,16.981493,0.000000,"C003672"
D001_5,V0021,1,Bike,C001722,2,27.380000,0.148000,10.279937,0.097363,"C001722;C001071"
D001_5,V0021,2,Bike,C003671,1,13.830000,0.160000,13.681558,0.000000,"C003671"
D001_5,V0021,3,Bike,C001304,1,19.250000,0.102000,4.461485,0.000000,"C001304"
D001_5,V0021,4,Bike,C001575,2,30.670000,0.287000,10.042867,0.054220,"C002576;C001575"
D001_2,V0029,1,Motorbike,C002378,2,41.400000,0.226000,16.270061,0.050597,"C002275;C002378"
D001_2,V0029,2,Motorbike,C000362,1,21.080000,0.074000,12.855443,0.000000,"C000362"
D001_2,V0029,3,Motorbike,C003562,1,21.580000,0.016000,11.172166,0.000000,"C003562"
D001_2,V0029,4,Motorbike,C002000,1,20.640000,0.188000,16.182320,0.000000,"C002000"
D001_2,V0029,5,Motorbike,C003522,1,21.370000,0.044000,16.119507,0.000000,"C003522"
D001_2,V0029,6,Motorbike,C002417,1,19.690000,0.078000,10.589204,0.000000,"C002417"
D001_2,V0029,7,Motorbike,C001513,1,20.130000,0.144000,14.727096,0.000000,"C001513"
D001_2,V0029,8,Motorbike,C001611,1,22.440000,0.029000,10.815829,0.000000,"C001611"
D001_2,V0029,9,Motorbike,C001397,1,22.050000,0.061000,11.870582,0.000000,"C001397"
D001_4,V0045,1,Motorbike,C001675,1,20.620000,0.163000,15.857619,0.000000,"C001675"
D001_4,V0045,2,Motorbike,C001167,1,20.590000,0.231000,4.137030,0.000000,"C001167"
D001_4,V0045,3,Motorbike,C002696,1,20.250000,0.194000,4.866593,0.000000,"C002696"
D001_4,V0045,4,Motorbike,C001419,1,21.930000,0.217000,14.188853,0.000000,"C001419"
D001_4,V0045,5,Motorbike,C001434,1,20.030000,0.102000,15.311432,0.000000,"C001434"
D001_4,V0045,6,Motorbike,C003172,1,19.760000,0.234000,17.176162,0.000000,"C003172"
D001_4,V0045,7,Motorbike,C000356,1,19.210000,0.043000,14.888013,0.000000,"C000356"
D001_4,V0045,8,Motorbike,C002125,1,19.180000,0.021000,9.075376,0.000000,"C002125"
D001_4,V0045,9,Motorbike,C001960,1,18.690000,0.121000,3.085448,0.000000,"C001960"
D001_3,V0049,1,Motorbike,C004261,1,22.170000,0.182000,5.600415,0.000000,"C004261"
D001_3,V0049,2,Motorbike,C002655,1,24.780000,0.165000,11.655701,0.000000,"C002655"
D001_3,V0049,3,Motorbike,C001298,2,32.850000,0.195000,9.332056,0.114726,"C001298;C000626"
D001_3,V0049,4,Motorbike,C001323,1,24.300000,0.191000,14.975192,0.000000,"C001323"
D001_3,V0049,5,Motorbike,C002473,2,36.920000,0.360000,13.774201,0.172044,"C003169;C002473"
D001_3,V0049,6,Motorbike,C004014,1,24.140000,0.046000,13.931262,0.000000,"C004014"
D001_3,V0049,7,Motorbike,C001452,2,36.510000,0.066000,12.671861,0.056814,"C000035;C001452"
