Depot_ID,Vehicle_ID,Vehicle_Type,Num_Trips,Total_Distance_km,Max_Distance_km,Fixed_Cost,Travel_Cost
D001_5,V0004,Van,14,191.620000,196.000000,852.880000,26.826800
D001_5,V0021,Bike,4,38.828000,39.000000,29.520000,1.553120
D001_2,V0029,Motorbike,9,120.726000,123.000000,118.710000,10.865340
D001_4,V0045,Motorbike,9,98.600000,99.000000,103.140000,4.930000
D001_3,V0049,Motorbike,12,134.780000,135.000000,154.560000,14.825800
D001_2,V0064,Van,27,285.120000,286.000000,1353.780000,74.131200
D001_3,V0086,Motorbike,7,69.322000,70.000000,100.730000,6.238980
D001_2,V0102,Cargo Trike,6,63.792000,64.000000,88.680000,6.379200
D001_5,V0103,Van,15,293.720000,294.000000,1166.250000,55.806800
D001_5,V0104,Motorbike,8,118.530000,119.000000,119.200000,7.111800
D001_2,V0119,EV Van,14,168.832000,169.000000,608.160000,20.259840
D001_5,V0122,Bike,3,28.776000,30.000000,20.820000,1.726560
D001_2,V0123,Motorbike,9,88.130000,89.000000,127.260000,5.287800
D001_1,V0127,EV Van,19,199.016000,201.000000,1239.750000,27.862240
D001_5,V0129,EV Van,10,216.850000,218.000000,400.900000,34.696000
D001_4,V0140,Motorbike,13,154.652000,156.000000,116.870000,17.011720
D001_1,V0190,Motorbike,11,127.662000,128.000000,156.530000,8.936340
D001_1,V0200,Motorbike,11,128.974000,129.000000,150.810000,14.187140
D001_4,V0202,Motorbike,11,131.298000,132.000000,151.470000,10.503840
D001_5,V0222,Bike,3,39.056000,48.000000,15.840000,2.733920
D001_1,V0231,Motorbike,7,57.764000,62.000000,92.050000,4.621120
D001_2,V0256,Bike,6,46.374000,49.000000,55.380000,3.246180
D001_4,V0267,EV Van,18,235.812000,236.000000,995.400000,18.864960
D001_1,V0288,Bike,4,26.354000,27.000000,21.960000,2.108320
